miRNA	Source	Info	Dir	Contrast
hsa-miR-3591-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3606-5p	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-3607-3p	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	up, up	LumB vs TNBC, LumA vs TNBC
hsa-miR-3607-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	up, up, up	Her2 vs TNBC, LumA vs TNBC, LumB vs TNBC
hsa-miR-3613-3p	CMEP	GSE68373_MEvsNoME, GSE98181_BCvsNorm	down, down	Metastasis, BC vs Norm
hsa-miR-3616-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-3618	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-362-3p	CMEP	GSE49035_REvsNoRE, GSE58606_HER2vsTNBC	down, up	Relaps, Her2 vs TNBC
hsa-miR-362-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-363-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-363-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3648	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	down, down	LumB vs TNBC, LumA vs TNBC
hsa-miR-3649	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-3653-3p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-3655	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3660	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-3661	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3662	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3668	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-367-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3678-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-3683	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-3685	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-3687	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-3689a-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-369-3p	CMEP	GSE58606_HER2vsTNBC, GSE49035_S3vsS2, GSE58606_LumBvsTNBC	up, up, down	Her2 vs TNBC, Stage3 vs Stage2, LumB vs TNBC
hsa-miR-369-5p	CMEP	GSE49035_S3vsS2	up	Stage3 vs Stage2
hsa-miR-3692-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-372-3p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-374a-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	up, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-375	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-376a-3p	CMEP	GSE41526_BCvsNorm	up	BC vs Norm
hsa-miR-376b-3p	CMEP	GSE41526_BCvsNorm, GSE49035_S3vsS2	up, up	BC vs Norm, Stage3 vs Stage2
hsa-miR-376c-3p	CMEP	GSE41526_BCvsNorm	up	BC vs Norm
hsa-miR-377-3p	CMEP	GSE41526_BCvsNorm, GSE49035_S3vsS2	up, up	BC vs Norm, Stage3 vs Stage2
hsa-miR-377-5p	CMEP	GSE49035_S3vsS2	up	Stage3 vs Stage2
hsa-miR-378b	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-378c	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-378h	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-379-5p	CMEP	GSE41526_BCvsNorm, GSE58606_HER2vsTNBC	up, up	BC vs Norm, Her2 vs TNBC
hsa-miR-379-3p	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-380-3p	CMEP	GSE41526_BCvsNorm	up	BC vs Norm
hsa-miR-380-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-382-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-382-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-383-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	up, down, down	Her2 vs TNBC, LumB vs TNBC, LumA vs TNBC
hsa-miR-384	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3908	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-3910	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-3912-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-3913-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3920	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3938	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-3940-3p	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-3942-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-3942-5p	CMEP	GSE98181_BCvsNorm	down	BC vs Norm
hsa-miR-3944-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-409-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	up, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-410-3p	CMEP	GSE22981_BCvsNorm, GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	down, up, up, up	BC vs Norm, LumB vs TNBC, Her2 vs TNBC, LumA vs TNBC
hsa-miR-411-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-411-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-421	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, down	Her2 vs TNBC, LumA vs TNBC
hsa-miR-423-5p	CMEP	GSE22981_BCvsNorm	up	BC vs Norm
hsa-miR-424-3p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	down, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-425-5p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-425-3p	CMEP	GSE22981_BCvsNorm	up	BC vs Norm
hsa-miR-4254	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-4255	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4264	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4266	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-4271	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4273	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4279	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4287	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	down, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-4289	CMEP	GSE58606_LumBvsTNBC	up	LumB vs TNBC
hsa-miR-429	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	up, up	LumA vs TNBC, LumB vs TNBC
hsa-miR-4290	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, down	Her2 vs TNBC, LumA vs TNBC
hsa-miR-4291	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4292	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-4297	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4301	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4303	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4305	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4307	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4308	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-431-3p	CMEP	GSE49035_REvsNoRE, GSE22981_BCvsNorm	up, up	Relaps, BC vs Norm
hsa-miR-4317	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-432-5p	CMEP	GSE49035_REvsNoRE	up	Relaps
hsa-miR-432-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4321	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4417	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4418	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC	down, up	LumA vs TNBC, Her2 vs TNBC
hsa-miR-4422	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4423-3p	CMEP	GSE98181_BCvsNorm	down	BC vs Norm
hsa-miR-4423-5p	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-4424	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC	down, up	LumA vs TNBC, Her2 vs TNBC
hsa-miR-4428	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4436a	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4438	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4439	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4444	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4446-3p	CMEP	GSE98181_BCvsNorm	up	BC vs Norm
hsa-miR-4447	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-4450	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, down	Her2 vs TNBC, LumB vs TNBC
hsa-miR-4462	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-4465	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4468	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4477a	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, down	Her2 vs TNBC, LumA vs TNBC
hsa-miR-4477b	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4480	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4482-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4490	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4492	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4499	CMEP	GSE98181_BCvsNorm	up	BC vs Norm
hsa-miR-449a	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-449b-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4501	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	down, down	LumA vs TNBC, LumB vs TNBC
hsa-miR-4504	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4507	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-450a-1-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-450a-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	down, down	LumB vs TNBC, LumA vs TNBC
hsa-miR-450b-3p	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-450b-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-451a	CMEP	GSE41526_BCvsNorm, GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	up, up, up	BC vs Norm, LumB vs TNBC, Her2 vs TNBC
hsa-miR-452-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4520-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4524a-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4524a-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4524b-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4526	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-4529-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, down	Her2 vs TNBC, LumA vs TNBC
hsa-miR-4532	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-4535	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-4536-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4538	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	down, down	LumB vs TNBC, LumA vs TNBC
hsa-miR-4540	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-455-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-455-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4633-5p	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-4638-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4645-3p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	down, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-4645-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4648	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4654	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-4659b-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, down	Her2 vs TNBC, LumA vs TNBC
hsa-miR-4660	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4661-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4664-3p	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	down, down	LumB vs TNBC, LumA vs TNBC
hsa-miR-4665-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4668-5p	CMEP	GSE98181_BCvsNorm	down	BC vs Norm
hsa-miR-4670-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4676-5p	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC	down, up	LumA vs TNBC, Her2 vs TNBC
hsa-miR-4679	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-4684-3p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, down	Her2 vs TNBC, LumB vs TNBC
hsa-miR-4690-5p	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-4691-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4694-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4694-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	down, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-4696	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4697-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-4700-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4703-3p	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-4707-3p	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	down, down, up	LumA vs TNBC, LumB vs TNBC, Her2 vs TNBC
hsa-miR-4711-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4715-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4715-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4717-5p	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC	down, up	LumA vs TNBC, Her2 vs TNBC
hsa-miR-4724-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4727-3p	CMEP	GSE98181_BCvsNorm	up	BC vs Norm
hsa-miR-4728-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4729	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	down, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-4731-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4732-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4733-3p	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	down, down	LumA vs TNBC, LumB vs TNBC
hsa-miR-4735-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4735-5p	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC	down, up	LumA vs TNBC, Her2 vs TNBC
hsa-miR-4736	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4742-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4751	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC	up, up	Her2 vs TNBC, LumA vs TNBC
hsa-miR-4753-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4756-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4760-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4761-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4765	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4768-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4773	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4774-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4781-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4786-3p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-4789-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-4790-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4792	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4796-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4797-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-4799-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-4801	CMEP	GSE98181_BCvsNorm	down	BC vs Norm
hsa-miR-4804-3p	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	down, up, down	LumA vs TNBC, Her2 vs TNBC, LumB vs TNBC
hsa-miR-483-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-483-5p	CMEP	GSE22981_BCvsNorm	up	BC vs Norm
hsa-miR-486-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-486-5p	CMEP	GSE41526_BCvsNorm	up	BC vs Norm
hsa-miR-488-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-490-5p	CMEP	GSE58606_LumBvsTNBC	down	LumB vs TNBC
hsa-miR-491-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	down, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-492	CMEP	GSE22981_BCvsNorm	up	BC vs Norm
hsa-miR-493-3p	CMEP	GSE49035_REvsNoRE, GSE22981_BCvsNorm	up, up	Relaps, BC vs Norm
hsa-miR-493-5p	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-494-3p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	up, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-495-3p	CMEP	GSE49035_REvsNoRE, GSE49035_S3vsS2, GSE58606_HER2vsTNBC	up, up, up	Relaps, Stage3 vs Stage2, Her2 vs TNBC
hsa-miR-496	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-497-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	up, up	LumB vs TNBC, LumA vs TNBC
hsa-miR-498	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, down	Her2 vs TNBC, LumB vs TNBC
hsa-miR-4999-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-499a-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-5000-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-5000-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-5004-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-5006-3p	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC	down, up	LumA vs TNBC, Her2 vs TNBC
hsa-miR-5006-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-5008-5p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-501-3p	CMEP	GSE49035_REvsNoRE, GSE58606_LumAvsTNBC	down, up	Relaps, LumA vs TNBC
hsa-miR-5011-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-502-5p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-504-5p	CMEP	GSE22981_BCvsNorm	up	BC vs Norm
hsa-miR-505-3p	CMEP	GSE22981_BCvsNorm	down	BC vs Norm
hsa-miR-506-5p	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	down, down, up	LumA vs TNBC, LumB vs TNBC, Her2 vs TNBC
hsa-miR-509-3-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-509-5p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, up	Her2 vs TNBC, LumB vs TNBC
hsa-miR-512-3p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-513a-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-513a-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_LumAvsTNBC	down, down	LumB vs TNBC, LumA vs TNBC
hsa-miR-513b-5p	CMEP	GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	down, down	LumA vs TNBC, LumB vs TNBC
hsa-miR-514a-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-514b-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-515-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-516b-5p	CMEP	GSE49035_REvsNoRE	down	Relaps
hsa-miR-5188	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-518b	CMEP	GSE22981_BCvsNorm, GSE49035_S3vsS2	up, down	BC vs Norm, Stage3 vs Stage2
hsa-miR-518c-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-518e-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-518f-3p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-518f-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-5193	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-5197-5p	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC	down, up	LumA vs TNBC, Her2 vs TNBC
hsa-miR-519a-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-519c-3p	CMEP	GSE49035_S3vsS2	down	Stage3 vs Stage2
hsa-miR-520d-3p	CMEP	GSE49035_REvsNoRE, GSE49035_S3vsS2, GSE22981_BCvsNorm	down, down, up	Relaps, Stage3 vs Stage2, BC vs Norm
hsa-miR-521	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-522-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-525-3p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-532-3p	CMEP	GSE58606_LumAvsTNBC, GSE49035_REvsNoRE	down, down	LumA vs TNBC, Relaps
hsa-miR-539-5p	CMEP	GSE49035_S3vsS2	up	Stage3 vs Stage2
hsa-miR-539-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-542-3p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-543	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-548ac	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-548aj-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-548am-5p	CMEP	GSE58606_LumBvsTNBC, GSE58606_HER2vsTNBC	down, up	LumB vs TNBC, Her2 vs TNBC
hsa-miR-548an	CMEP	GSE58606_LumAvsTNBC, GSE58606_HER2vsTNBC	down, up	LumA vs TNBC, Her2 vs TNBC
hsa-miR-548ao-5p	CMEP	GSE58606_LumAvsTNBC	down	LumA vs TNBC
hsa-miR-548at-3p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-548aw	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumBvsTNBC	up, up	Her2 vs TNBC, LumB vs TNBC
hsa-miR-548d-5p	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
hsa-miR-548g-3p	CMEP	GSE58606_HER2vsTNBC, GSE58606_LumAvsTNBC, GSE58606_LumBvsTNBC	up, up, up	Her2 vs TNBC, LumA vs TNBC, LumB vs TNBC
hsa-miR-548i	CMEP	GSE41526_BCvsNorm, GSE58606_HER2vsTNBC	down, up	BC vs Norm, Her2 vs TNBC
hsa-miR-548j-5p	CMEP	GSE49035_REvsNoRE	up	Relaps
hsa-miR-548n	CMEP	GSE68373_MEvsNoME	down	Metastasis
hsa-miR-548p	CMEP	GSE58606_LumAvsTNBC	up	LumA vs TNBC
hsa-miR-548s	CMEP	GSE58606_HER2vsTNBC	up	Her2 vs TNBC
