miRNA	Contrast	Dir	Info	Source
hsa-miR-21-5p	BC vs Norm	Up	MicroRNA-21 induces breast cancer cell invasion and migration by suppressing smad7 via EGF and TGF-? pathways.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	Diagnostic potential of PTEN-targeting miR-214 in the blood of breast cancer patients.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	Up-regulation of miR-21 by HER2/neu signaling promotes cell invasion.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	Differential expression of miR-21, miR-125b and miR-191 in breast cancer tissue.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	Combination of miR-21 with Circulating Tumor Cells Markers Improve Diagnostic Specificity of Metastatic Breast Cancer.	mirCancerDB
hsa-miR-21-5p	BC vs Norm	Up	A novel panel of serum miR-21/miR-155/miR-365 as a potential diagnostic biomarker for breast cancer.	mirCancerDB
hsa-miR-210-3p	BC vs Norm	Down	MicroRNA-210 interacts with FBXO31 to regulate cancer proliferation cell cycle and migration in human breast cancer.	mirCancerDB
hsa-miR-211-5p	BC vs Norm	Down	MicroRNA-211, a direct negative regulator of CDC25B expression, inhibits triple-negative breast cancer cells' growth and migration.	mirCancerDB
hsa-miR-212-3p	BC vs Norm	Down	Aberrant Expression of Breast Development-Related MicroRNAs, miR-22, miR-132, and miR-212, in Breast Tumor Tissues.	mirCancerDB
hsa-miR-214-3p	BC vs Norm	Down	Tumor-suppressing roles of miR-214 and miR-218 in breast cancer.	mirCancerDB
hsa-miR-214-3p	BC vs Norm	Down	miR-214 promotes apoptosis and sensitizes breast cancer cells to doxorubicin by targeting the RFWD2-p53 cascade.	mirCancerDB
hsa-miR-214-3p	BC vs Norm	Down	miR-214 negatively regulates proliferation and WNT/?-catenin signaling in breast cancer.	mirCancerDB
hsa-miR-216b-5p	BC vs Norm	Down	Regulation of the P2X7R by microRNA-216b in human breast cancer.	mirCancerDB
hsa-miR-216b-5p	BC vs Norm	Down	miR-216b suppresses breast cancer growth and metastasis by targeting SDCBP.	mirCancerDB
hsa-miR-217	BC vs Norm	Up	miR-217 Promotes Tumor Proliferation in Breast Cancer via Targeting DACH1.	mirCancerDB
hsa-miR-218-5p	BC vs Norm	Down	Tumor-suppressing roles of miR-214 and miR-218 in breast cancer.	mirCancerDB
hsa-miR-218-5p	BC vs Norm	Down	Silencing of miRNA-218 promotes migration and invasion of breast cancer via Slit2-Robo1 pathway.	mirCancerDB
hsa-miR-22-3p	BC vs Norm	Down	A regulatory loop involving miR-22, Sp1, and c-Myc modulates CD147 expression in breast cancer invasion and metastasis.	mirCancerDB
hsa-miR-22-3p	BC vs Norm	Down	miR-22 as a prognostic factor targets glucose transporter protein type 1 in breast cancer.	mirCancerDB
hsa-miR-221-3p	BC vs Norm	Down	Knockdown of miR-221 promotes the cisplatin-inducing apoptosis by targeting the BIM-Bax/Bak axis in breast cancer.	mirCancerDB
hsa-miR-221-3p	BC vs Norm	Up	TRPS1 targeting by miR-221/222 promotes the epithelial-to-mesenchymal transition in breast cancer.	mirCancerDB
hsa-miR-221-3p	BC vs Norm	Up	Slug-upregulated miR-221 promotes breast cancer progression through suppressing E-cadherin expression.	mirCancerDB
hsa-miR-221-3p	BC vs Norm	Up	Study of microRNAs-21/221 as potential breast cancer biomarkers in Egyptian women.	mirCancerDB
hsa-miR-221-3p	BC vs Norm	Up	miR-221/222 promotes S-phase entry and cellular migration in control of basal-like breast cancer.	mirCancerDB
hsa-miR-221-3p	BC vs Norm	Up	From microRNA functions to microRNA therapeutics: Novel targets and novel drugs in breast cancer research and treatment (Review).	mirCancerDB
hsa-miR-222-3p	BC vs Norm	Up	Analysis of serum genome-wide microRNAs for breast cancer detection.	mirCancerDB
hsa-miR-222-3p	BC vs Norm	Up	TRPS1 targeting by miR-221/222 promotes the epithelial-to-mesenchymal transition in breast cancer.	mirCancerDB
hsa-miR-222-3p	BC vs Norm	Up	miR-221/222 promotes S-phase entry and cellular migration in control of basal-like breast cancer.	mirCancerDB
hsa-miR-223-3p	BC vs Norm	Down	Inhibiting inducible miR-223 further reduces viable cells in human cancer cell lines MCF-7 and PC3 treated by celastrol.	mirCancerDB
hsa-miR-224-5p	BC vs Norm	Up	MicroRNA-224 targets RKIP to control cell invasion and expression of metastasis genes in human breast cancer cells.	mirCancerDB
hsa-miR-23a-3p	BC vs Norm	Up	c-MYC regulated miR-23a~24-2~27a cluster promotes mammary carcinoma cell invasion and hepatic metastasis by targeting Sprouty2.	mirCancerDB
hsa-miR-24-3p	BC vs Norm	Up	Association between miR-24 and miR-378 in formalin-fixed paraffin-embedded tissues of breast cancer.	mirCancerDB
hsa-miR-26a-5p	BC vs Norm	Down	miR-26a Inhibits Proliferation and Migration of Breast Cancer through Repression of MCL-1.	mirCancerDB
hsa-miR-26a-5p	BC vs Norm	Down	MicroRNA-26a inhibits proliferation by targeting high mobility group AT-hook 1 in breast cancer.	mirCancerDB
hsa-miR-26a-5p	BC vs Norm	Down	Pathologically decreased miR-26a antagonizes apoptosis and facilitates carcinogenesis by targeting MTDH and EZH2 in breast cancer.	mirCancerDB
hsa-miR-26a-5p	BC vs Norm	Down	miR-26a suppresses tumour proliferation and metastasis by targeting metadherin in triple negative breast cancer.	mirCancerDB
hsa-miR-26b-5p	BC vs Norm	Down	MicroRNA-26b is underexpressed in human breast cancer and induces cell apoptosis by targeting SLC7A11.	mirCancerDB
hsa-miR-26b-5p	BC vs Norm	Down	miRNA-26b inhibits proliferation by targeting PTGS2 in breast cancer.	mirCancerDB
hsa-miR-26b-5p	BC vs Norm	Down	miRNA-26b inhibits cellular proliferation by targeting CDK8 in breast cancer.	mirCancerDB
hsa-miR-27a-3p	BC vs Norm	Up	c-MYC regulated miR-23a~24-2~27a cluster promotes mammary carcinoma cell invasion and hepatic metastasis by targeting Sprouty2.	mirCancerDB
hsa-miR-27a-3p	BC vs Norm	Up	Arsenic trioxide suppresses cell growth and migration via inhibition of miR-27a in breast cancer cells.	mirCancerDB
hsa-miR-27a-3p	BC vs Norm	Up	miR-27a regulates the sensitivity of breast cancer cells to cisplatin treatment via BAK-SMAC/DIABLO-XIAP axis.	mirCancerDB
hsa-miR-29a-3p	BC vs Norm	Up	miR-29a promotes cell proliferation and EMT in breast cancer by targeting ten eleven translocation 1.	mirCancerDB
hsa-miR-29a-3p	BC vs Norm	Down	MicroRNA-29a inhibits cell migration and invasion by targeting Roundabout 1 in breast cancer cells.	mirCancerDB
hsa-miR-29a-3p	BC vs Norm	Up	microRNA-29 negatively regulates EMT regulator N-myc interactor in breast cancer.	mirCancerDB
hsa-miR-29a-3p	BC vs Norm	Up	Next-generation sequencing of microRNAs for breast cancer detection.	mirCancerDB
hsa-miR-29c-3p	BC vs Norm	Up	microRNA-29 negatively regulates EMT regulator N-myc interactor in breast cancer.	mirCancerDB
hsa-miR-300	BC vs Norm	Down	miR-300 inhibits epithelial to mesenchymal transition and metastasis by targeting Twist in human epithelial cancer.	mirCancerDB
hsa-miR-30a-5p	BC vs Norm	Down	MicroRNA-30a suppresses breast tumor growth and metastasis by targeting metadherin.	mirCancerDB
hsa-miR-30a-5p	BC vs Norm	Down	MicroRNA-30a inhibits cell migration and invasion by downregulating vimentin expression and is a potential prognostic marker in breast cancer.	mirCancerDB
hsa-miR-30a-5p	BC vs Norm	Down	Down-regulation of miRNA-30a in human plasma is a novel marker for breast cancer.	mirCancerDB
hsa-miR-30a-5p	BC vs Norm	Down	miR-30a suppresses breast cancer cell proliferation and migration by targeting Eya2.	mirCancerDB
hsa-miR-30a-5p	BC vs Norm	Down	MicroRNA-30a increases tight junction protein expression to suppress the epithelial-mesenchymal transition and metastasis by targeting Slug in breast cancer.	mirCancerDB
hsa-miR-30e-5p	BC vs Norm	Down	Abnormal miRNA-30e Expression is Associated with Breast Cancer Progression.	mirCancerDB
hsa-miR-31-5p	BC vs Norm	Down	miR-31 and its host gene lncRNA LOC554202 are regulated by promoter hypermethylation in triple-negative breast cancer.	mirCancerDB
hsa-miR-31-5p	BC vs Norm	Down	Concurrent suppression of integrin alpha5, radixin, and RhoA phenocopies the effects of miR-31 on metastasis.	mirCancerDB
hsa-miR-32-5p	BC vs Norm	Up	MicroRNA-32 promotes cell proliferation, migration and suppresses apoptosis in breast cancer cells by targeting FBXW7.	mirCancerDB
hsa-miR-320a	BC vs Norm	Down	Rab14 Suppression Mediated by miR-320a Inhibits Cell Proliferation, Migration and Invasion in Breast Cancer.	mirCancerDB
hsa-miR-320a	BC vs Norm	Down	MicroRNA-320a inhibits breast cancer metastasis by targeting metadherin.	mirCancerDB
hsa-miR-329-3p	BC vs Norm	Down	Downregulation of microRNA-362-3p and microRNA-329 promotes tumor progression in human breast cancer.	mirCancerDB
hsa-miR-330-3p	BC vs Norm	Up	Targeting of CCBE1 by miR-330-3p in human breast cancer promotes metastasis.	mirCancerDB
hsa-miR-335-5p	BC vs Norm	Down	MicroRNA-335 inhibits tumor reinitiation and is silenced through genetic and epigenetic mechanisms in human breast cancer.	mirCancerDB
hsa-miR-335-5p	BC vs Norm	Down	Analysis of miR-205 and miR-155 expression in the blood of breast cancer patients.	mirCancerDB
hsa-miR-335-5p	BC vs Norm	Down	miR-335 inhibits migration of breast cancer cells through targeting oncoprotein c-Met.	mirCancerDB
hsa-miR-339-5p	BC vs Norm	Down	miR-339-5p inhibits breast cancer cell migration and invasion in vitro and may be a potential biomarker for breast cancer prognosis.	mirCancerDB
hsa-miR-33a-5p	BC vs Norm	Down	miR-33a Decreases High-Density Lipoprotein-Induced Radiation Sensitivity in Breast Cancer.	mirCancerDB
hsa-miR-33a-5p	BC vs Norm	Down	miR-33a suppresses breast cancer cell proliferation and metastasis by targeting ADAM9 and ROS1.	mirCancerDB
hsa-miR-33b-5p	BC vs Norm	Down	MicroRNA-33b Inhibits Breast Cancer Metastasis by Targeting HMGA2, SALL4 and Twist1.	mirCancerDB
hsa-miR-340-5p	BC vs Norm	Down	miR-340 suppresses cell migration and invasion by targeting MYO10 in breast cancer.	mirCancerDB
hsa-miR-340-5p	BC vs Norm	Down	miR-340 and ZEB1 negative feedback loop regulates TGF-?- mediated breast cancer progression.	mirCancerDB
hsa-miR-346	BC vs Norm	Up	miR-346 promotes the biological function of breast cancer cells by targeting SRCIN1 and reduces chemosensitivity to docetaxel.	mirCancerDB
hsa-miR-34a-5p	BC vs Norm	Down	Targeted Expression of miR-34a Using the T-VISA System Suppresses Breast Cancer Cell Growth and Invasion.	mirCancerDB
hsa-miR-34a-5p	BC vs Norm	Down	MicroRNA-34a suppresses the breast cancer stem cell-like characteristics by downregulating Notch1 pathway.	mirCancerDB
hsa-miR-34a-5p	BC vs Norm	Down	The miR-34a-LDHA axis regulates glucose metabolism and tumor growth in breast cancer.	mirCancerDB
hsa-miR-34a-5p	BC vs Norm	Down	Tumor-suppressive microRNA-34a inhibits breast cancer cell migration and invasion via targeting oncogenic TPD52.	mirCancerDB
hsa-miR-34a-5p	BC vs Norm	Down	MicroRNA-34a Suppresses Cell Proliferation by Targeting LMTK3 in Human Breast Cancer MCF-7 Cell Line.	mirCancerDB
hsa-miR-34a-5p	BC vs Norm	Down	Circulating miR-34a levels are reduced in colorectal cancer.	mirCancerDB
hsa-miR-34a-5p	BC vs Norm	Down	miR-34a Inhibits Breast Cancer Proliferation and Progression by Targeting Wnt1 in Wnt/?-Catenin Signaling Pathway.	mirCancerDB
hsa-miR-34a-5p	BC vs Norm	Down	MicroRNA-34 suppresses breast cancer invasion and metastasis by directly targeting Fra-1.	mirCancerDB
hsa-miR-34b-3p	BC vs Norm	Down	The Regulation and Function of miR-21-FOXO3a-miR-34b/c Signaling in Breast Cancer.	mirCancerDB
hsa-miR-34b-3p	BC vs Norm	Down	MicroRNA-34 suppresses breast cancer invasion and metastasis by directly targeting Fra-1.	mirCancerDB
hsa-miR-362-3p	BC vs Norm	Down	Downregulation of microRNA-362-3p and microRNA-329 promotes tumor progression in human breast cancer.	mirCancerDB
hsa-miR-365a-3p	BC vs Norm	Down	Overexpression of microRNA-365 inhibits breast cancer cell growth and chemo-resistance through GALNT4.	mirCancerDB
hsa-miR-365a-3p	BC vs Norm	Down	A novel panel of serum miR-21/miR-155/miR-365 as a potential diagnostic biomarker for breast cancer.	mirCancerDB
hsa-miR-370-3p	BC vs Norm	Up	High MicroRNA-370 Expression Correlates with Tumor Progression and Poor Prognosis in Breast Cancer.	mirCancerDB
hsa-miR-373-3p	BC vs Norm	Up	Epigenetic Silencing of ITGA2 by miR-373 Promotes Cell Migration in Breast Cancer.	mirCancerDB
hsa-miR-373-3p	BC vs Norm	Up	miR-373 drives the epithelial-to-mesenchymal transition and metastasis via the miR-373-TXNIP-HIF1?-TWIST signaling axis in breast cancer.	mirCancerDB
hsa-miR-373-3p	BC vs Norm	Up	The microRNAs miR-373 and miR-520c promote tumour invasion and metastasis.	mirCancerDB
hsa-miR-373-3p	BC vs Norm	Up	Serum miR-21 and miR-125b as markers predicting neoadjuvant chemotherapy response and prognosis in stage II/III breast cancer.	mirCancerDB
hsa-miR-374a-5p	BC vs Norm	Down	Effects of Differential Distribution of Microvessel Density, Possibly Regulated by miR-374a, on Breast Cancer Prognosis.	mirCancerDB
hsa-miR-375	BC vs Norm	Down	miR-375 inhibits cancer stem cell phenotype and tamoxifen resistance by degrading HOXB3 in human ER-positive breast cancer.	mirCancerDB
hsa-miR-376b-3p	BC vs Norm	Up	MicroRNA-376b promotes breast cancer metastasis by targeting Hoxd10 directly.	mirCancerDB
hsa-miR-378a-3p	BC vs Norm	Up	Association between miR-24 and miR-378 in formalin-fixed paraffin-embedded tissues of breast cancer.	mirCancerDB
hsa-miR-379-5p	BC vs Norm	Down	miR-379 regulates cyclin B1 expression and is decreased in breast cancer.	mirCancerDB
hsa-miR-381-3p	BC vs Norm	Down	miR-381 suppresses C/EBP?-dependent Cx43 expression in breast cancer cells.	mirCancerDB
hsa-miR-381-3p	BC vs Norm	Down	Analysis of miR-205 and miR-155 expression in the blood of breast cancer patients.	mirCancerDB
hsa-miR-383-5p	BC vs Norm	Down	MicroRNA-383 Regulates the Apoptosis of Tumor Cells through Targeting Gadd45g.	mirCancerDB
hsa-miR-409-3p	BC vs Norm	Down	miR-409-3p suppresses breast cancer cell growth and invasion by targeting Akt1.	mirCancerDB
hsa-miR-421	BC vs Norm	Down	MicroRNA-421 inhibits breast cancer metastasis by targeting metastasis associated 1.	mirCancerDB
hsa-miR-425-5p	BC vs Norm	Down	Estrogen mediated-activation of miR-191/425 cluster modulates tumorigenicity of breast cancer cells depending on estrogen receptor status.	mirCancerDB
hsa-miR-429	BC vs Norm	Down	miR-429 inhibits migration and invasion of breast cancer cells in vitro.	mirCancerDB
hsa-miR-429	BC vs Norm	Up	Direct targeting of Sec23a by miR-200s influences cancer cell secretome and promotes metastatic colonization.	mirCancerDB
hsa-miR-449a	BC vs Norm	Up	miR-449a promotes breast cancer progression by targeting CRIP2.	mirCancerDB
hsa-miR-450b-3p	BC vs Norm	Down	Targeting HER3 with miR-450b-3p suppresses breast cancer cells proliferation.	mirCancerDB
hsa-miR-451a	BC vs Norm	Down	Serum miR-21 and miR-125b as markers predicting neoadjuvant chemotherapy response and prognosis in stage II/III breast cancer.	mirCancerDB
hsa-miR-485-3p	BC vs Norm	Down	miR-485-3p and miR-485-5p suppress breast cancer cell metastasis by inhibiting PGC-1? expression.	mirCancerDB
hsa-miR-485-5p	BC vs Norm	Down	miR-485-3p and miR-485-5p suppress breast cancer cell metastasis by inhibiting PGC-1? expression.	mirCancerDB
hsa-miR-489-3p	BC vs Norm	Down	A novel double-negative feedback loop between miR-489 and the HER2-SHP2-MAPK signaling axis regulates breast cancer cell proliferation and tumor growth.	mirCancerDB
hsa-miR-494-3p	BC vs Norm	Down	miR-494 suppresses the progression of breast cancer in vitro by targeting CXCR4 through the Wnt/?-catenin signaling pathway.	mirCancerDB
hsa-miR-494-3p	BC vs Norm	Down	MicroRNA-494 inhibits breast cancer progression by directly targeting PAK1.	mirCancerDB
hsa-miR-495-3p	BC vs Norm	Down	Downregulated miR-45 Inhibits the G1-S Phase Transition by Targeting Bmi-1 in Breast Cancer.	mirCancerDB
hsa-miR-495-3p	BC vs Norm	Up	miR-495 is upregulated by E12/E47 in breast cancer stem cells, and promotes oncogenesis and hypoxia resistance via downregulation of E-cadherin and REDD1.	mirCancerDB
hsa-miR-495-3p	BC vs Norm	Down	Demethylation of miR-495 inhibits cell proliferation, migration and promotes apoptosis by targeting STAT-3 in breast cancer.	mirCancerDB
hsa-miR-497-5p	BC vs Norm	Down	Analysis of miR-195 and miR-497 expression, regulation and role in breast cancer.	mirCancerDB
hsa-miR-497-5p	BC vs Norm	Down	microRNA-497 induces cell apoptosis by negatively regulating Bcl-2 protein expression at the posttranscriptional level in human breast cancer.	mirCancerDB
hsa-miR-498	BC vs Norm	Down	MicroRNA deregulation in triple negative breast cancer reveals a role of miR-498 in regulating BRCA1 expression.	mirCancerDB
hsa-miR-502-5p	BC vs Norm	Down	Suppressive role of miR-502-5p in breast cancer via downregulation of TRAF2.	mirCancerDB
hsa-miR-503-5p	BC vs Norm	Up	miR-503 inhibited cell proliferation of human breast cancer cells by suppressing CCND1 expression.	mirCancerDB
hsa-miR-506-3p	BC vs Norm	Down	Up-regulation of miR-506 inhibits cell growth and disrupt the cell cycle by targeting YAP in breast cancer cells.	mirCancerDB
hsa-miR-510-5p	BC vs Norm	Up	MicroRNA-510 promotes cell and tumor growth by targeting peroxiredoxin1 in breast cancer.	mirCancerDB
hsa-miR-517a-3p	BC vs Norm	Down	Restoration of miR-517a expression induces cell apoptosis in bladder cancer cell lines.	mirCancerDB
hsa-miR-519d-3p	BC vs Norm	Down	miR-519d-mediated downregulation of STAT3 suppresses breast cancer progression.	mirCancerDB
hsa-miR-520a-3p	BC vs Norm	Down	Suppressing role of miR-520a-3p in breast cancer through CCND1 and CD44.	mirCancerDB
hsa-miR-520e	BC vs Norm	Up	miR-520e regulates cell proliferation, apoptosis and migration in breast cancer.	mirCancerDB
hsa-miR-520g-3p	BC vs Norm	Up	Study on the relationship between miR-520g and the development of breast cancer.	mirCancerDB
hsa-miR-526b-5p	BC vs Norm	Up	COX-2 Elevates Oncogenic miR-526b in Breast Cancer by EP4 Activation.	mirCancerDB
hsa-miR-544a	BC vs Norm	Down	MicroRNA-544 down-regulates both Bcl6 and Stat3 to inhibit tumor growth of human triple negative breast cancer.	mirCancerDB
hsa-miR-567	BC vs Norm	Down	MicroRNA-567 dysregulation contributes to carcinogenesis of breast cancer, targeting tumor cell proliferation, and migration.	mirCancerDB
hsa-miR-574-3p	BC vs Norm	Down	Novel oncogenic function of mesoderm development candidate 1 and its regulation by miR-574-3p in bladder cancer cell lines.	mirCancerDB
hsa-miR-590-5p	BC vs Norm	Down	MicroRNA miR-590-5p inhibits breast cancer cell stemness and metastasis by targeting SOX2.	mirCancerDB
hsa-miR-597-5p	BC vs Norm	Down	miR-597 inhibits breast cancer cell proliferation, migration and invasion through FOSL2.	mirCancerDB
hsa-miR-601	BC vs Norm	Down	miR-601 is a prognostic marker and suppresses cell growth and invasion by targeting PTP4A1 in breast cancer.	mirCancerDB
hsa-miR-613	BC vs Norm	Down	miR-613 inhibits proliferation and invasion of breast cancer cell via VEGFA.	mirCancerDB
hsa-miR-625-5p	BC vs Norm	Down	miR-625 suppresses cell proliferation and migration by targeting HMGA1 in breast cancer.	mirCancerDB
hsa-miR-630	BC vs Norm	Down	miR-630 suppresses breast cancer progression by targeting metadherin.	mirCancerDB
hsa-miR-638	BC vs Norm	Down	miR-638 mediated regulation of BRCA1 affects DNA repair and sensitivity to UV and cisplatin in triple negative breast cancer.	mirCancerDB
hsa-miR-671-5p	BC vs Norm	Down	miR-671-5p inhibits epithelial-to-mesenchymal transition by downregulating FOXM1 expression in breast cancer.	mirCancerDB
hsa-miR-675-5p	BC vs Norm	Up	Over-expression of miR-675 in formalin-fixed paraffin-embedded (FFPE) tissues of breast cancer patients.	mirCancerDB
hsa-miR-7-5p	BC vs Norm	Down	Identification of direct target genes of miR-7, miR-9, miR-96, and miR-182 in the human breast cancer cell lines MCF-7 and MDA-MB-231.	mirCancerDB
hsa-miR-7-5p	BC vs Norm	Down	MicroRNA-7 inhibits epithelial-to-mesenchymal transition and metastasis of breast cancer cells via targeting FAK expression.	mirCancerDB
hsa-miR-720	BC vs Norm	Down	miR-720 inhibits tumor invasion and migration in breast cancer by targeting TWIST1.	mirCancerDB
hsa-miR-761	BC vs Norm	Up	microRNA-761 induces aggressive phenotypes in triple-negative breast cancer cells by repressing TRIM29 expression.	mirCancerDB
hsa-miR-762	BC vs Norm	Up	microRNA-762 promotes breast cancer cell proliferation and invasion by targeting IRF7 expression.	mirCancerDB
hsa-miR-802	BC vs Norm	Down	MicroRNA-802 suppresses breast cancer proliferation through downregulation of FoxM1.	mirCancerDB
hsa-miR-873-5p	BC vs Norm	Down	miR-873 regulates ER? transcriptional activity and tamoxifen resistance via targeting CDK3 in breast cancer cells.	mirCancerDB
hsa-miR-874-3p	BC vs Norm	Down	MicroRNA-874 inhibits cell proliferation and induces apoptosis in human breast cancer by targeting CDK9.	mirCancerDB
hsa-miR-892b	BC vs Norm	Down	miR-892b Silencing Activates NF-?B and Promotes Aggressiveness in Breast Cancer.	mirCancerDB
hsa-miR-9-5p	BC vs Norm	Down	Identification of direct target genes of miR-7, miR-9, miR-96, and miR-182 in the human breast cancer cell lines MCF-7 and MDA-MB-231.	mirCancerDB
hsa-miR-9-5p	BC vs Norm	Up	MicroRNA-9 promotes the proliferation, migration, and invasion of breast cancer cells via down-regulating FOXO1.	mirCancerDB
hsa-miR-92a-3p	BC vs Norm	Down	Downregulation of miR-92a is associated with aggressive breast cancer features and increased tumour macrophage infiltration.	mirCancerDB
hsa-miR-92a-3p	BC vs Norm	Down	Circulating microRNA-92a and microRNA-21 as novel minimally invasive biomarkers for primary breast cancer.	mirCancerDB
hsa-miR-92a-3p	BC vs Norm	Down	MicroRNA expression profiles in human breast cancer cells after multifraction and single-dose radiation treatment.	mirCancerDB
hsa-miR-944	BC vs Norm	Up	miR-944 functions as a novel oncogene and regulates the chemoresistance in breast cancer.	mirCancerDB
hsa-miR-96-5p	BC vs Norm	Up	miR-96 promotes tumor proliferation and invasion by targeting RECK in breast cancer.	mirCancerDB
hsa-miR-96-5p	BC vs Norm	Up	Unregulated miR-96 induces cell proliferation in human breast cancer by downregulating transcriptional factor FOXO3a.	mirCancerDB
hsa-miR-96-5p	BC vs Norm	Up	High expression of microRNA-183/182/96 cluster as a prognostic biomarker for breast cancer.	mirCancerDB
hsa-miR-96-5p	BC vs Norm	Up	miR-96 promotes cell proliferation, migration and invasion by targeting PTPN9 in breast cancer.	mirCancerDB
hsa-miR-98-5p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
hsa-miR-99a-5p	BC vs Norm	Down	miR-99a antitumor activity in human breast cancer cells through targeting of mTOR expression.	mirCancerDB
hsa-miR-99a-5p	BC vs Norm	Down	MicroRNA-99a inhibits tumor aggressive phenotypes through regulating HOXA1 in breast cancer cells.	mirCancerDB
hsa-miR-99a-5p	BC vs Norm	Down	miR-99a suppress proliferation, migration and invasion through regulating insulin-like growth factor 1 receptor in breast cancer.	mirCancerDB
hsa-miR-99a-5p	BC vs Norm	Down	Low levels of serum miR-99a is a predictor of poor prognosis in breast cancer.	mirCancerDB
hsa-miR-124-3p	BC vs Norm	Down	miR-124-3p functions as a tumor suppressor in breast cancer by targeting CBL.	mirCancerDB
hsa-miR-124-3p	BC vs Norm	Down	Decreased miR-124-3p Expression Prompted Breast Cancer Cell Progression Mainly by Targeting Beclin-1.	mirCancerDB
hsa-miR-148b-3p	BC vs Norm	Down	Diagnostic and prognostic microRNAs in the serum of breast cancer patients measured by droplet digital PCR.	mirCancerDB
hsa-miR-17-5p	BC vs Norm	Down	STAT3 is required for miR-17-5p-mediated sensitization to chemotherapy-induced apoptosis in breast cancer cells.	mirCancerDB
hsa-miR-17-5p	BC vs Norm	Down	miR-17-5p regulates breast cancer cell proliferation by inhibiting translation of AIB1 mRNA.	mirCancerDB
hsa-miR-17-5p	BC vs Norm	Up	miR-17-5p promotes human breast cancer cell migration and invasion through suppression of HBP1.	mirCancerDB
hsa-miR-181b-3p	BC vs Norm	Up	miR-181b-3p promotes epithelial-mesenchymal transition in breast cancer cells through Snail stabilization by directly targeting YWHAG.	mirCancerDB
hsa-miR-182-5p	BC vs Norm	Up	Apoptosis-inducing and antiproliferative effect by inhibition of miR-182-5p through the regulation of CASP9 expression in human breast cancer.	mirCancerDB
hsa-miR-183-5p	BC vs Norm	Up	miRNA-183-5p promotes cell proliferation and inhibits apoptosis in human breast cancer by targeting the PDCD4.	mirCancerDB
hsa-miR-19a-3p	BC vs Norm	Down	MicroRNA-19a-3p inhibits breast cancer progression and metastasis by inducing macrophage polarization through downregulated expression of Fra-1 proto-oncogene.	mirCancerDB
hsa-miR-204-5p	BC vs Norm	Down	miR-204-5p/Six1 feedback loop promotes epithelial-mesenchymal transition in breast cancer.	mirCancerDB
hsa-miR-214-3p	BC vs Norm	Up	Osteoclastic miR-214 targets TRAF3 to contribute to osteolytic bone metastasis of breast cancer.	mirCancerDB
hsa-miR-24-2-5p	BC vs Norm	Up	c-MYC regulated miR-23a~24-2~27a cluster promotes mammary carcinoma cell invasion and hepatic metastasis by targeting Sprouty2.	mirCancerDB
hsa-miR-24-3p	BC vs Norm	Up	miRNA-24-3p promotes cell proliferation and inhibits apoptosis in human breast cancer by targeting p27Kip1.	mirCancerDB
hsa-miR-27b-3p	BC vs Norm	Down	Downregulation of microRNA-27b-3p enhances tamoxifen resistance in breast cancer by increasing NR5A2 and CREB1 expression.	mirCancerDB
hsa-miR-30a-5p	BC vs Norm	Down	miR-30a-5p suppresses breast tumor growth and metastasis through inhibition of LDHA-mediated Warburg effect.	mirCancerDB
hsa-miR-3646	BC vs Norm	Up	miR-3646 promotes cell proliferation, migration, and invasion via regulating G2/M transition in human breast cancer cells.	mirCancerDB
hsa-miR-410-3p	BC vs Norm	Down	miR-410-3p suppresses breast cancer progression by targeting Snail.	mirCancerDB
hsa-miR-411-5p	BC vs Norm	Down	miR-411-5p inhibits proliferation and metastasis of breast cancer cell via targeting GRB2.	mirCancerDB
hsa-miR-451a	BC vs Norm	Down	miR-451a Inhibited Cell Proliferation and Enhanced Tamoxifen Sensitive in Breast Cancer via Macrophage Migration Inhibitory Factor.	mirCancerDB
hsa-miR-489-5p	BC vs Norm	Down	GSE1 negative regulation by miR-489-5p promotes breast cancer cell proliferation and invasion.	mirCancerDB
hsa-miR-5003-3p	BC vs Norm	Up	miR-5003-3p promotes epithelial-mesenchymal transition in breast cancer cells through Snail stabilization and direct targeting of E-cadherin.	mirCancerDB
hsa-miR-503-3p	BC vs Norm	Up	miR-503-3p promotes epithelial-mesenchymal transition in breast cancer by directly targeting SMAD2 and E-cadherin.	mirCancerDB
hsa-miR-544a	BC vs Norm	Up	miR-544a Promotes Breast Cancer Cell Migration and Invasion Reducing Cadherin 1 Expression.	mirCancerDB
hsa-miR-652-3p	BC vs Norm	Down	Diagnostic and prognostic microRNAs in the serum of breast cancer patients measured by droplet digital PCR.	mirCancerDB
hsa-miR-660-5p	BC vs Norm	Up	Inhibition of miR-660-5p expression suppresses tumor development and metastasis in human breast cancer.	mirCancerDB
hsa-miR-93-5p	BC vs Norm	Up	miR-106b and miR-93 regulate cell progression by suppression of PTEN via PI3K/Akt pathway in breast cancer.	mirCancerDB
hsa-let-7a-5p	BC vs Norm	Down	Breast cancer-specific TRAIL expression mediated by miRNA response elements of let-7 and miR-122.	mirCancerDB
